name,rate,category,location,info_link,cover_link
天元突破剧场版：螺岩篇,9.1,剧情,日本,https://movie.douban.com/subject/3727748/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p937216094.jpg
京都人的私房雅趣·夏,9.1,剧情,日本,https://movie.douban.com/subject/27037451/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2518729865.jpg
新世纪福音战士 第0:0话 诞生之始,9.1,剧情,日本,https://movie.douban.com/subject/26306741/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560431118.jpg
人间的条件(第五、六部),9.1,剧情,日本,https://movie.douban.com/subject/1441039/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2566324607.jpg
小森林 夏秋篇,9.0,剧情,日本,https://movie.douban.com/subject/25814705/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg
小森林 冬春篇,9.0,剧情,日本,https://movie.douban.com/subject/25814707/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2258078370.jpg
一一,9.0,剧情,日本,https://movie.douban.com/subject/1292434/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg
楢山节考,9.0,剧情,日本,https://movie.douban.com/subject/1296703/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p981755735.jpg
影武者,9.0,剧情,日本,https://movie.douban.com/subject/1303067/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p997945263.jpg
胜者即是正义SP,9.0,剧情,日本,https://movie.douban.com/subject/21332518/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2151557606.jpg
红鳉鱼,9.0,剧情,日本,https://movie.douban.com/subject/26266892/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2315734512.jpg
空之境界 第七章 杀人考察（后）,9.0,剧情,日本,https://movie.douban.com/subject/3399553/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2202703811.jpg
孤独的美食家新春SP：严冬之北海道·旭川出差篇,9.0,剧情,日本,https://movie.douban.com/subject/26682874/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2294143791.jpg
孤独的美食家特别篇！盛夏的东北·宫城出差篇,9.0,剧情,日本,https://movie.douban.com/subject/26823817/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2362888109.jpg
吹响悠风号剧场版：想要传达的旋律,9.0,剧情,日本,https://movie.douban.com/subject/26994755/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2499628260.jpg
轻音少女番外篇：访问,9.0,剧情,日本,https://movie.douban.com/subject/5308199/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2125205411.jpg
赛文奥特曼 我是地球人,9.0,剧情,日本,https://movie.douban.com/subject/5041031/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2547616522.jpg
卡里古拉,9.0,剧情,日本,https://movie.douban.com/subject/26843144/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2369252025.jpg
悠哉日常大王 OAD,9.0,剧情,日本,https://movie.douban.com/subject/25779156/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2190356194.jpg
木更津猫眼 世界系列,9.0,剧情,日本,https://movie.douban.com/subject/1793394/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p764157116.jpg
赛文奥特曼 光荣与传说,9.0,剧情,日本,https://movie.douban.com/subject/5041026/,https://img9.doubanio.com/view/subject/l/public/s4445212.jpg
身毒丸,9.0,剧情,日本,https://movie.douban.com/subject/20326528/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2519799906.jpg
8UPPERS FEATURE MUSIC FILM,9.0,剧情,日本,https://movie.douban.com/subject/6839118/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1210671627.jpg
蛮幽鬼,9.0,剧情,日本,https://movie.douban.com/subject/26425434/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2385322366.jpg
栗色小天使,9.0,剧情,日本,https://movie.douban.com/subject/2376466/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1510442260.jpg
熔炉,9.3,剧情,韩国,https://movie.douban.com/subject/5912992/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg
草地恋歌,9.3,剧情,韩国,https://movie.douban.com/subject/30238371/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2546674482.jpg
素媛,9.2,剧情,韩国,https://movie.douban.com/subject/21937452/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg
辩护人,9.2,剧情,韩国,https://movie.douban.com/subject/21937445/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg
爱·回家,9.1,剧情,韩国,https://movie.douban.com/subject/1299361/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2107418134.jpg
我爱你,9.0,剧情,韩国,https://movie.douban.com/subject/5908478/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1075591188.jpg
剧院魅影：25周年纪念演出,9.7,剧情,英国,https://movie.douban.com/subject/24751811/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2006533765.jpg
控方证人,9.5,剧情,英国,https://movie.douban.com/subject/5294851/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2367853261.jpg
